DIRECTORIO;FEX_C
7576337;43.655248493
7576338;45.376826227
7576339;40.347928083
7576340;34.055303779
7576342;79.288947767
7576343;47.200797789
7576344;51.539156908
7576345;63.29406676
7576347;39.470322883
7576349;30.271381137
7576350;45.614025784
7576351;54.274545811
7576353;28.244381332
7576356;21.279992307
7576357;57.9857432
7576358;31.455800487
7576359;23.104850094
7576360;35.864824963
7576362;81.07546627
7576364;45.407071706
7576366;75.553234211
7576367;37.459276838
7576369;45.407071706
7576370;77.599803272
7576372;43.016893693
7576373;66.010179759
7576374;47.072582764
7576376;59.33478734
7576377;56.20837996
7576380;47.143712306
7576384;237.90279994
7576385;337.68789048
7576386;279.02223644
7576388;393.90379801
7576390;294.70480619
7576391;331.07954417
7576392;243.22879127
7576394;257.17209789
7576395;237.90279994
7576398;208.16494995
7576399;310.55770633
7576402;226.54744089
7576404;305.57112228
7576406;350.13670935
7576407;287.77296343
7576412;393.90379801
7576413;294.70480619
7576415;39.373495454
7576419;60.981753587
7576422;62.887434133
7576425;52.772671373
7576426;45.183422819
7576427;36.323709603
7576429;42.611356824
7576431;57.587914769
7576432;31.986751344
7576463;199.86101877
7576466;102.40587644
7576468;45.604493181
7576469;76.419488224
7576470;91.506198737
7576471;76.976938189
7576472;81.918235301
7576473;72.530925488
7576476;71.018557603
7576477;61.594140435
7576478;49.515289449
7576479;59.06614553
7576480;117.73982062
7576481;104.99754053
7576623;83.377605176
7576624;78.12010872
7576625;96.234102766
7576626;39.361148547
7576628;90.099317251
7576629;55.501428833
7576631;62.128483299
7576633;76.987282213
7576634;65.005363936
7576635;86.567132623
7576636;76.987282213
7576638;84.733916991
7576639;83.207432721
7576640;71.259502371
7576641;127.32791889
7576642;78.65822713
7576644;55.824382888
7576645;98.322783912
7576646;60.373588479
7576647;82.327620653
7576648;113.57913011
7576649;161.74172204
7576650;102.70777817
7576651;82.327620653
7576652;75.466985599
7576653;88.462289668
7576654;106.80011731
7576655;63.980602635
7576656;102.24956636
7576657;51.333486303
7576658;54.08681364
7576659;55.560264991
7576660;53.823888372
7576661;48.336207086
7576662;40.260526937
7576663;56.995236307
7576664;66.980512877
7576665;67.990163259
7576666;71.903557769
7576667;45.233219432
7576668;54.08681364
7576670;40.379727342
7576671;20.224755935
7576672;20.224755935
7576673;25.924285988
7576674;25.924285988
7576675;25.912516851
7576676;14.084571905
7576677;13.677183571
7576678;24.256069042
7576679;28.857565366
7576680;25.786599066
7576681;43.317220677
7576682;24.320217719
7576683;24.320217719
7576684;28.814025617
7576685;20.743597271
7576686;25.280944919
7576687;25.280944919
7576688;26.233951299
7576689;51.051224423
7576690;49.111174315
7576691;53.763033249
7576692;54.898338466
7576693;59.294789571
7576694;69.478404826
7576695;95.627301023
7576696;65.437948731
7576697;52.07232009
7576698;51.830778683
