DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S4A3;P784S4A4
7600665;1;1;1;255.32844514;1;1920000
7600672;1;1;1;117.0393331;2;300000
7600686;1;1;1;489.49522829;1;532000
7600704;1;1;1;484.49603044;1;800000
7606554;1;1;1;1594.1003666;1;210000
7606661;1;1;1;42.136642314;1;15000000
7606668;1;1;1;41.096879247;1;320000
7606687;1;1;1;120.79381524;1;304000
7606720;1;1;1;152.14181756;1;380000
7606721;1;1;1;159.83704843;1;480000
7606791;1;1;1;109.41445287;1;300000
7606805;1;1;1;154.13450047;2;2070000
7606811;1;1;1;123.095203;1;300000
7606812;1;1;1;104.61022844;1;2700000
7606819;1;1;1;121.4984907;1;456000
7606827;1;1;1;207.84166312;1;456000
7606851;1;1;1;500.81187829;1;275000
7606866;1;1;1;308.23395122;2;400000
7606917;1;1;1;1265.9457;1;912000
7606920;1;1;1;734.41142196;1;1200000
7606921;1;1;1;870.29990558;1;380000
7606923;1;1;1;826.67297279;1;228000
7606923;2;1;2;826.67297279;1;410000
7607023;1;1;1;249.14231286;1;1110000
7607075;1;1;1;373.53998472;1;76000
7607116;1;1;1;499.73498032;2;300000
7607123;1;1;1;405.85684956;1;300000
7607135;1;1;1;273.9405865;1;300000
7607138;1;1;1;235.13564775;1;300000
7607404;1;1;1;2033.0601036;1;150000
7607428;1;1;1;95.688443832;1;225000
7607438;1;1;1;125.53906353;1;400000
7607441;1;1;1;796.16020557;1;300000
7607466;1;1;1;233.22720388;1;760000
7607659;1;1;1;6.063028965;1;12000000
7607663;1;1;1;12.69165562;1;99
7607799;1;1;1;25.753752394;1;75000
7607861;1;1;1;14.26034094;1;450000
7607875;1;1;1;120.52595122;1;580000
7607880;1;1;1;34.541448148;1;450000
7607909;1;1;1;34.725211017;1;450000
7607918;1;1;1;36.152830163;1;450000
7607965;1;1;1;32.814856945;1;225000
7607972;1;1;1;23.493460957;1;300000
7607996;1;1;1;50.274738667;1;450000
7608026;1;1;1;135.93791438;1;1600000
7608139;1;1;1;26.008623359;1;760000
7608264;1;1;1;20.209495231;1;400000
7611484;1;1;1;252.13455985;1;420000
7611493;1;1;1;314.45807328;1;304000
7611520;1;1;1;268.83325857;1;75000
7611534;1;1;1;127.31660262;1;75000
7611612;1;1;1;163.7448913;1;300000
7611613;1;1;1;111.90580964;1;840000
7611614;1;1;1;145.78120895;1;384000
7611638;1;1;1;159.50050171;1;420000
7611641;1;1;1;249.58582371;2;4400000
7611853;1;1;1;141.04942758;1;280000
7611971;1;1;1;69.183877325;1;160000
7612003;1;1;1;265.23055299;1;304000
7612042;1;1;1;56.833222155;1;80000
7612051;1;1;1;26.656823355;1;1380000
7612095;1;1;1;77.017274002;5;600000
7612102;1;1;1;28.620280663;1;225000
7612209;1;1;1;164.18190429;1;1600000
7612224;1;1;1;118.21097109;1;750000
7612293;1;1;1;175.05363294;1;460000
7612299;1;1;1;142.03658388;1;960000
7612322;1;1;1;43.259287953;1;225000
7612324;1;1;1;46.687195461;1;800000
7612365;1;1;1;25.600339758;1;280000
7612376;1;1;1;24.28738933;1;304000
7612617;1;1;1;160.67682619;3;1110000
7612650;1;1;1;33.080210206;1;450000
7612817;1;1;1;118.15793552;1;912000
7612826;1;1;1;130.01843879;1;456000
7612831;1;1;1;109.69305618;1;456000
7612833;1;1;1;58.151742096;1;450000
7613060;1;1;1;142.59143103;1;760000
7613131;1;1;1;110.49908766;1;912000
7613211;1;1;1;119.50634842;1;215000
7613214;1;1;1;181.22533269;1;450000
7613269;1;1;1;83.137165278;1;480000
7613277;1;1;1;63.201870284;2;650000
7613510;1;1;1;378.04670448;1;600000
7613570;1;1;1;6.9494444309;1;120000
7613582;1;1;1;13.341510456;1;200000
7613679;1;1;1;73.801177381;1;150000
7613792;1;1;1;129.92589237;1;228000
7613820;1;1;1;45.262581921;1;840000
7613991;1;1;1;83.529835021;1;25000
7614003;1;1;1;367.79291957;1;3240000
7614112;1;1;1;744.79858275;1;760000
7614168;1;1;1;118.47491067;1;432000
7614317;1;1;1;106.86770135;1;300000
7614329;1;1;1;160.15197768;1;150000
7614329;2;1;2;160.15197768;2;800000
7614367;1;1;1;177.2305555;1;750000
7614373;1;1;1;172.2362564;1;1800000
7614513;1;1;1;209.17058032;2;99
7614563;1;1;1;34.93080895;1;140000
7614568;1;1;1;63.537972742;1;300000
7614579;1;1;1;67.4474698;1;300000
7614687;1;1;1;269.86936592;1;420000
7614895;1;1;1;774.06805432;2;840000
7614944;1;1;1;85.182422188;1;304000
7614947;1;1;1;129.46968981;2;456000
7614953;1;1;1;85.182422188;1;768000
7614957;1;1;1;85.182422188;1;380000
7614965;1;1;1;85.182422188;1;304000
7614975;1;1;1;80.295950883;1;304000
7615124;1;1;1;22.417415798;1;1920000
7615132;1;1;1;28.549142094;1;150000
7615208;1;1;1;35.425451239;1;448000
7615211;1;1;1;110.08252899;1;380000
7615218;1;1;1;20.373001544;1;350000
7615292;1;1;1;44.915939215;1;2500000
7615298;1;1;1;77.419470639;1;600000
7615332;1;1;1;109.51205838;1;450000
7615346;1;1;1;105.08582554;1;450000
7615461;1;1;1;384.49104041;1;900000
7615499;1;1;1;485.05886503;1;180000
7615566;1;1;1;36.890611094;1;456000
7615573;1;1;1;87.803842442;1;456000
7615591;1;1;1;463.0694966;1;456000
7615598;1;1;1;554.74234788;1;396000
