DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P407S2;P5971;P5971S2;P5971S2A1
7568248;4;1;4;282.97112796;2;3;2;2;2;;;2;
7568248;3;2;3;282.97112796;2;3;2;2;2;;;2;
7568274;3;1;3;296.97815656;3;3;2;2;2;;;2;
7568276;2;1;2;399.02707159;1;5;;;;;;2;
7568277;4;1;4;344.01708422;2;3;2;2;2;;;2;
7568278;3;1;3;267.48499534;3;3;2;2;2;;;1;3
7568282;3;1;3;206.21499005;3;3;2;2;2;;;1;2
7568283;3;1;3;485.52685257;3;3;2;2;2;;;2;
7568283;4;1;4;485.52685257;1;3;2;2;2;;;2;
7568283;5;1;5;485.52685257;1;4;2;2;2;;;2;
7568288;3;1;3;279.66879117;3;3;2;2;2;;;2;
7568290;2;1;2;236.04020461;1;3;2;2;2;;;2;
7568293;4;1;4;270.56348663;4;3;2;2;2;;;2;
7568293;5;1;5;270.56348663;1;3;2;2;2;;;2;
7568294;2;1;2;168.91085695;1;3;2;2;2;;;2;
7568294;3;1;3;168.91085695;1;3;2;2;2;;;2;
7568304;5;1;5;256.2342465;1;4;2;2;2;;;2;
7568310;3;1;3;191.67305489;1;3;2;2;2;;;1;8
7568310;4;1;4;191.67305489;1;3;2;2;2;;;2;
7568311;2;1;2;222.82869711;1;3;2;2;2;;;2;
7568312;3;1;3;282.55182335;2;3;2;2;2;;;1;6
7568316;4;1;4;291.05735861;2;3;2;2;2;;;2;
7568318;4;1;4;134.80557361;3;3;2;2;2;;;2;
7568318;5;1;5;134.80557361;3;3;2;2;2;;;2;
7568320;5;1;5;350.6209671;5;3;2;2;2;;;1;1
7568324;5;1;5;379.27080332;5;3;2;2;2;;;1;1
7568331;3;1;3;318.75357638;3;3;2;2;2;;;1;1
7568333;5;1;5;266.93240104;5;3;2;2;2;;;1;1
7568342;4;1;4;205.77147291;4;3;2;2;2;;;1;7
7568345;5;1;5;266.93240104;5;3;2;2;2;;;2;
7568346;3;1;3;539.57731249;3;3;2;2;2;;;1;1
7568346;4;1;4;539.57731249;4;3;2;2;2;;;1;1
7568350;4;1;4;204.66846533;4;3;2;2;2;;;1;1
7568351;5;1;5;319.4271059;5;3;2;2;2;;;2;
7568355;2;1;2;286.58290967;2;3;2;2;2;;;1;1
7568366;3;1;3;523.28361928;1;3;2;2;2;;;2;
7568374;3;1;3;140.36669288;1;3;2;2;2;;;1;1
7568385;4;1;4;152.7882049;2;3;2;2;2;;;1;1
7568388;2;1;2;196.28029821;1;3;2;2;2;;;1;1
7568388;3;1;3;196.28029821;1;5;;;;;;2;
7568390;4;1;4;135.6644948;4;3;2;2;2;;;2;
