DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P51;P772;P773;P6169;P6169S1;P8564;P8564S1;P8566;P8566S1;P8568;P8568S1;P6191;P6191S1;P8572;P8572S1;P8574;P8574S1;P8576;P8576S1;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S14;P779S9A2
7567380;3;1;3;121.72197359;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567383;4;1;4;258.43306149;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;1;1;;;;;;;;;1;1;;;;;;;
7567385;6;1;6;274.19857582;5;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;1;2;;;;;;;;;;;;;;;;;
7567390;4;1;4;245.46297772;2;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;;;;;;;1;2;;;;;;;;;
7567391;5;1;5;345.66804742;2;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;
7567399;6;1;6;242.75485991;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;3;;;;;1;2;1;2;;;1;1;;;;;;;;;;;;;;;
7567406;6;1;6;386.99402651;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;4;;;;;;;1;2;;;1;1;;;;;;;;;;;;;;;
7567442;3;1;3;2130.5020979;1;;5;1;500000;1;25000;2;;2;;1;581000;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;1;2;1;2;1;2;1;2;;;1;2;1;2;;;;;;;;;
7567455;5;1;5;608.42767923;5;3;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;6;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567463;4;1;4;83.800553662;2;4;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;2;;;;;;;;;1;1;;;;;1;1;1;2;1;2;;;;;;;
7567463;5;1;5;83.800553662;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;;;;;;;1;2;;;;;;;;;
7567478;3;1;3;84.398926009;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567480;3;1;3;71.51997845;1;;5;1;500000;1;300000;1;500000;1;250000;2;;2;;2;;2;;1;4;;;;1;1;;;;1;1;;;;;1;2;;;1;2;;;;;1;2;;;;;;;;;;;
7567480;4;1;4;71.51997845;5;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;1;2;1;2;;;;;;;
7567493;3;1;3;42.64266823;1;;2;1;15000;1;65000;1;110000;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7567494;3;1;3;42.092782924;1;;2;2;;2;;1;60000;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7567508;5;1;5;34.452964816;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7567511;6;1;6;29.753641552;5;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;1;1;;;;;1;2;1;1;;;;;;;
7567512;2;1;2;49.591040662;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;2;1;2;1;4;1;2;;;
7567512;3;1;3;49.591040662;3;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;
